# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
# millisec, uSv/h, CPS, CPM, Temp, Alt, roll, pitch, heading, x_accel, y_accel, z_accel, balloonstate
91247,  5.42,  0,  952, 24.90, 30.77, -93.95, 0.44, -130.74, -0.08, -10.24, -0.71, 1
92243,  5.43,  2,  954, 24.90, 31.27, -89.76, -6.18, -118.92, 1.02, -9.41, 0.04, 1
93239,  4.05,  0,  711, 24.90, 30.77, -87.67, -0.93, -120.59, 0.16, -9.65, 0.39, 1
94235,  4.05,  1,  711, 24.90, 30.77, -88.38, -0.92, -121.10, 0.16, -9.73, 0.27, 1
95230,  4.04,  0,  710, 24.90, 30.60, -83.63, 2.79, -121.15, -0.43, -8.79, 0.98, 1
96226,  4.04,  0,  709, 24.90, 30.60, -87.41, 0.71, -122.33, -0.12, -9.53, 0.43, 1
97222,  4.04,  1,  710, 24.90, 30.60, -86.99, 0.69, -122.72, -0.12, -9.69, 0.51, 1
98218,  4.04,  0,  710, 24.90, 30.35, -90.69, -0.69, -126.28, 0.12, -9.81, -0.12, 1
99214,  4.04,  0,  710, 24.90, 30.85, -88.38, -0.46, -121.58, 0.08, -9.69, 0.27, 1
100210,  4.04,  0,  709, 24.90, 30.52, -88.14, -0.23, -118.79, 0.04, -9.69, 0.31, 1
101205,  4.04,  0,  709, 24.90, 30.68, -88.11, -2.12, -119.08, 0.35, -9.53, 0.31, 1
102201,  4.04,  0,  709, 24.90, 30.43, -87.67, 0.70, -122.73, -0.12, -9.65, 0.39, 1
103197,  4.04,  0,  709, 24.80, 30.93, -87.91, -0.70, -118.47, 0.12, -9.69, 0.35, 1
104193,  4.03,  0,  708, 24.80, 30.93, -87.70, -1.15, -119.36, 0.20, -9.77, 0.39, 1
105189,  2.58,  0,  453, 24.80, 30.27, -89.31, -0.23, -122.22, 0.04, -9.73, 0.12, 1
106185,  2.11,  0,  371, 24.80, 31.10, -88.84, -0.46, -124.07, 0.08, -9.69, 0.20, 1
107180,  2.11,  0,  371, 24.80, 30.52, -88.39, -0.69, -123.74, 0.12, -9.77, 0.27, 1
108176,  1.53,  1,  269, 24.80, 30.85, -92.72, -2.71, -122.34, 0.47, -9.92, -0.47, 1
109171,  0.07,  0,  14, 24.70, 30.77, -88.82, -2.83, -123.15, 0.47, -9.53, 0.20, 1
110167,  0.08,  1,  15, 24.70, 31.35, -87.88, 3.30, -129.51, -0.55, -9.53, 0.35, 1
111163,  0.07,  0,  14, 24.70, 30.52, -89.77, 0.68, -115.94, -0.12, -9.85, 0.04, 1
112159,  0.09,  2,  16, 24.70, 29.93, -88.36, 1.41, -107.06, -0.24, -9.57, 0.27, 1
113154,  0.08,  0,  15, 24.70, 31.02, -87.45, -0.93, -104.36, 0.16, -9.69, 0.43, 1
114150,  0.08,  0,  15, 24.70, 31.52, -86.05, -1.86, -102.54, 0.31, -9.65, 0.67, 1
115146,  0.09,  1,  16, 24.70, 30.43, -88.16, 0.69, -112.37, -0.12, -9.77, 0.31, 1
116142,  0.09,  0,  16, 24.70, 30.52, -83.45, 11.73, -103.46, -2.00, -9.57, 1.10, 1
117138,  0.09,  1,  17, 24.70, 31.18, -91.32, 0.44, -75.91, -0.08, -10.20, -0.24, 1
118134,  0.09,  0,  17, 24.70, 31.27, -92.75, -1.14, -71.69, 0.20, -9.81, -0.47, 1
119129,  0.08,  1,  15, 24.70, 31.02, -91.14, -1.14, -79.33, 0.20, -9.89, -0.20, 1
120125,  0.08,  0,  15, 24.70, 30.77, -89.77, -0.00, -81.28, 0.00, -9.96, 0.04, 1
121121,  0.09,  1,  16, 24.70, 31.35, -91.84, -1.61, -78.78, 0.27, -9.77, -0.31, 1
122124,  188.44,  551,  33060, 24.70, 30.77, -89.77, -1.15, -87.38, 0.20, -9.77, 0.04, 1
124108,  0.00,  0,  0, 24.70, 30.60, -100.59, -0.00, -95.76, 0.00, -9.65, -1.80, 1
125108,  35.02,  1,  6144, 24.60, 31.10, -98.26, -0.71, -99.65, 0.12, -9.45, -1.37, 1
126104,  34.95,  0,  6132, 24.60, 30.85, -94.56, -1.14, -97.74, 0.20, -9.85, -0.78, 1
127099,  17.57,  1,  3084, 24.60, 31.44, -94.88, -5.55, -97.11, 0.94, -9.65, -0.82, 1
128093,  3.00,  0,  527, 24.60, 31.44, -89.30, -1.39, -103.15, 0.24, -9.69, 0.12, 1
129089,  3.00,  0,  527, 24.60, 30.77, -94.56, -0.68, -111.26, 0.12, -9.85, -0.78, 1
130085,  3.00,  0,  527, 24.60, 31.10, -93.45, -5.72, -125.28, 0.98, -9.77, -0.59, 1
131081,  3.01,  2,  529, 24.60, 30.85, -78.73, 4.91, -128.86, -0.86, -9.85, 1.96, 1
132076,  3.01,  0,  529, 24.60, 30.85, -89.54, 2.05, -131.53, -0.35, -9.85, 0.08, 1
133073,  3.47,  80,  609, 24.60, 31.02, -108.35, 8.02, -129.72, -1.18, -7.92, -2.63, 1
134069,  5.88,  4,  1032, 24.60, 31.69, -146.74, 8.08, -146.38, -1.45, -5.61, -8.55, 1
135065,  5.88,  0,  1032, 24.60, 31.44, -93.37, 5.03, -117.25, -0.82, -9.34, -0.55, 1
136061,  5.74,  0,  1008, 24.60, 31.18, -91.34, -2.01, -110.33, 0.35, -10.04, -0.24, 1
137057,  5.74,  0,  1008, 24.60, 31.02, -89.54, -0.23, -117.24, 0.04, -9.73, 0.08, 1
138051,  3.48,  0,  612, 24.60, 30.93, -88.17, 0.46, -116.26, -0.08, -9.81, 0.31, 1
139047,  3.48,  0,  612, 24.50, 31.77, -87.90, -1.64, -112.23, 0.27, -9.61, 0.35, 1
140043,  3.48,  0,  612, 24.50, 31.18, -92.07, -1.61, -109.81, 0.27, -9.77, -0.35, 1
141039,  3.49,  1,  613, 24.50, 31.10, -88.83, -4.20, -105.09, 0.71, -9.61, 0.20, 1
142035,  3.52,  6,  618, 24.50, 30.93, -88.61, -3.47, -100.24, 0.59, -9.69, 0.24, 1
143037,  159.03,  465,  27900, 24.50, 30.93, -87.49, 0.91, -108.09, -0.16, -9.85, 0.43, 1
144029,  17.92,  0,  3144, 24.50, 30.68, -89.77, -2.57, -99.88, 0.43, -9.61, 0.04, 1
145028,  24.07,  90,  4224, 24.50, 30.52, -84.50, 0.72, -105.11, -0.12, -9.38, 0.90, 1
146022,  34.88,  159,  6120, 24.50, 30.93, -91.58, 6.96, -111.61, -1.22, -9.96, -0.27, 1
147016,  34.74,  4,  6096, 24.50, 31.02, -91.59, 1.14, -104.32, -0.20, -9.89, -0.27, 1
148012,  17.51,  3,  3072, 24.50, 30.85, -86.72, -2.81, -101.75, 0.47, -9.57, 0.55, 1
149008,  17.71,  3,  3108, 24.50, 30.52, -88.89, -3.33, -102.03, 0.59, -10.12, 0.20, 1
150004,  11.55,  0,  2028, 24.50, 30.27, -93.17, 0.90, -113.80, -0.16, -9.92, -0.55, 1
150998,  6.45,  1,  1132, 24.50, 29.85, -87.93, -0.69, -101.78, 0.12, -9.77, 0.35, 1
151994,  6.44,  0,  1130, 24.50, 29.93, -87.56, -3.89, -93.10, 0.63, -9.22, 0.39, 1
152990,  6.44,  1,  1131, 24.40, 30.10, -87.91, -1.62, -97.13, 0.27, -9.69, 0.35, 1
153986,  6.44,  0,  1130, 24.40, 29.93, -88.61, -0.69, -99.06, 0.12, -9.73, 0.24, 1
