_RAJ2000	_DEJ2000	recno	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Field	nobs	mobs	B-V	e_B-V	Vmag	e_Vmag	Bmag	e_Bmag	g'mag	e_g'mag	r'mag	e_r'mag	i'mag	e_i'mag
301.27062200	+44.26596600	14245718	301.270622	+44.265966	0.696	0.747	20122054	4	14	0.805	0.142	16.136	0.073	16.941	0.121	16.442	0.041	15.891	0.058	15.573	0.049
301.28320200	+44.25197300	14245719	301.283202	+44.251973	0.881	0.712	20122054	3	7	0.651	0.094	14.653	0.080	15.305	0.049					14.214	0.186
301.21968800	+44.25401500	14245721	301.219688	+44.254015	0.788	0.680	20122054	3	12	0.727	0.062	14.734	0.043	15.461	0.045	15.046	0.028	14.551	0.068		
301.23498300	+44.25958800	14245722	301.234983	+44.259588	0.492	0.420	20122054	4	15	2.477	0.190	14.933	0.175	17.410	0.073	16.130	0.079	14.193	0.059	13.077	0.056
301.23567500	+44.24517000	14245723	301.235675	+44.245170	0.775	0.639	20122054	3	11	1.137	0.290	16.144	0.157	17.280	0.244	16.611	0.037	15.849	0.011	15.380	0.000
301.23349300	+44.28600800	14245724	301.233493	+44.286008	0.479	0.593	20122054	4	19	0.702	0.039	14.695	0.010	15.397	0.038	14.981	0.049	14.492	0.039	14.363	0.063
301.23665400	+44.26924900	14245725	301.236654	+44.269249	0.867	0.800	20122054	2	8	0.936	0.052	16.232	0.000	17.168	0.052	16.735	0.019	15.976	0.028		
301.18404300	+44.28870300	14245791	301.184043	+44.288703	1.040	0.712	20122054	2	6	0.789	0.244	17.000	0.235	17.789	0.065	17.220	0.000	16.861	0.000		
301.19937400	+44.28569000	14245792	301.199374	+44.285690	0.432	0.622	20122054	5	21	0.687	0.054	13.755	0.037	14.442	0.039	14.045	0.039	13.529	0.042	13.382	0.023
301.20026800	+44.31516400	14245793	301.200268	+44.315164	0.489	1.101	20122054	3	10	1.175	0.082	16.044	0.000	17.220	0.082	16.539	0.074	15.549	0.071	15.383	0.106
301.18202200	+44.29819300	14245796	301.182022	+44.298193	0.613	0.513	20122054	4	18	0.738	0.069	15.253	0.044	15.991	0.053	15.554	0.069	14.997	0.045	14.882	0.031
301.18045300	+44.31522200	14245797	301.180453	+44.315222	0.994	0.711	20122054	3	7	1.311	0.204	16.567	0.115	17.878	0.168	17.096	0.000	16.131	0.000	15.424	0.000
301.18427500	+44.33170100	14245798	301.184275	+44.331701	0.211	0.365	20122054	5	24	1.160	0.055	11.829	0.037	12.989	0.041	12.351	0.047	11.486	0.023	11.121	0.052
301.18636800	+44.30558800	14245799	301.186368	+44.305588	0.462	0.543	20122054	4	19	0.439	0.034	14.153	0.018	14.593	0.029	14.291	0.036	14.010	0.037	13.939	0.026
301.14790900	+44.32647500	14245816	301.147909	+44.326475	0.773	0.934	20122054	2	4	0.764	0.000	16.385	0.000	17.149	0.000	16.588	0.038	15.880	0.000		
301.14441600	+44.36135700	14245817	301.144416	+44.361357	1.171	0.779	20122054	2	4	1.598	0.215	16.607	0.000	18.204	0.215	17.408	0.000	16.176	0.000		
301.14535300	+44.34053500	14245818	301.145353	+44.340535	0.741	0.896	20122054	3	6	1.098	0.418	16.983	0.260	18.081	0.327						
301.14551800	+44.33590600	14245819	301.145518	+44.335906	0.321	1.115	20122054	4	10	0.578	0.073	15.479	0.071	16.058	0.020	15.660	0.000	15.365	0.000		
301.13298300	+44.38108400	14245824	301.132983	+44.381084	1.231	1.031	20122054	2	6	0.926	0.138	16.801	0.000	17.726	0.138	17.155	0.076	16.524	0.192		
301.35013100	+44.21850000	14245825	301.350131	+44.218500	0.836	0.662	20122054	4	17	0.705	0.077	15.588	0.028	16.293	0.072	15.866	0.064	15.351	0.046	15.179	0.086
301.36133900	+44.22885200	14245826	301.361339	+44.228852	0.498	0.397	20122054	5	24	1.036	0.045	13.101	0.034	14.137	0.029	13.595	0.046	12.732	0.026	12.264	0.009
301.35067800	+44.24495200	14245827	301.350678	+44.244952	0.680	0.717	20122054	4	16	0.780	0.065	15.347	0.027	16.128	0.059	15.675	0.019	15.119	0.037	14.817	0.017
301.35392800	+44.26897200	14245828	301.353928	+44.268972	0.428	0.735	20122054	4	18	0.764	0.099	15.202	0.046	15.966	0.088	15.505	0.039	14.968	0.057	14.780	0.000
301.35406300	+44.26192900	14245829	301.354063	+44.261929	0.273	0.517	20122054	4	18	0.629	0.062	14.641	0.043	15.270	0.044	14.891	0.031	14.486	0.058	14.304	0.010
301.30741900	+44.24553800	14245830	301.307419	+44.245538	0.362	0.662	20122054	2	6	0.683	0.122	15.815	0.058	16.498	0.108	16.003	0.000	15.517	0.000		
301.31198600	+44.26707500	14245831	301.311986	+44.267075	0.751	0.411	20122054	4	17	0.669	0.062	14.242	0.031	14.911	0.053	14.448	0.044	14.043	0.065	13.882	0.048
301.32779700	+44.23950800	14245832	301.327797	+44.239508	0.986	0.488	20122054	3	9	1.526	0.000	16.242	0.000	17.768	0.000	16.919	0.039	15.571	0.051	14.860	0.000
301.36177300	+44.27714700	14245833	301.361773	+44.277147	0.354	0.346	20122054	5	24	1.287	0.052	12.361	0.041	13.648	0.032	12.956	0.051	11.959	0.023	11.509	0.055
301.37596400	+44.26903800	14245834	301.375964	+44.269038	0.683	0.591	20122054	2	8	1.384	0.079	15.747	0.000	17.131	0.079	16.526	0.105	15.220	0.025	14.608	0.034
301.39018100	+44.31511800	14245835	301.390181	+44.315118	0.828	0.747	20122054	4	16	0.979	0.084	15.203	0.054	16.182	0.064	15.614	0.028	14.807	0.024	14.546	0.006
301.39288200	+44.29645600	14245836	301.392882	+44.296456	0.502	1.027	20122054	4	14	0.727	0.089	15.266	0.056	15.993	0.070	15.527	0.036	14.991	0.014		
301.40486300	+44.28573600	14245837	301.404863	+44.285736	1.341	0.496	20122054	2	4	0.665	0.163	17.050	0.163	17.715	0.008						
301.35810300	+44.30431400	14245838	301.358103	+44.304314	0.292	1.058	20122054	2	4							17.414	0.099	15.953	0.062		
301.35821600	+44.29541700	14245839	301.358216	+44.295417	0.555	0.624	20122054	4	19	0.816	0.083	14.957	0.070	15.773	0.044	15.315	0.047	14.678	0.040	14.439	0.123
301.35834100	+44.31049000	14245840	301.358341	+44.310490	0.335	0.886	20122054	2	8	1.313	0.072	15.702	0.000	17.016	0.072	16.487	0.159	15.215	0.094	14.637	0.000
301.35838300	+44.31095400	14245841	301.358383	+44.310954	0.870	1.137	20122054	2	6	1.298	0.015	15.880	0.006	17.178	0.014	16.480	0.000	15.282	0.000		
301.35845400	+44.34316700	14245842	301.358454	+44.343167	0.403	0.381	20122054	5	24	1.236	0.062	10.877	0.050	12.113	0.036	11.467	0.024	10.496	0.024	10.077	0.035
301.28385300	+44.28902200	14245843	301.283853	+44.289022	0.563	0.531	20122054	4	18	0.844	0.080	14.206	0.043	15.050	0.067	14.565	0.050	13.985	0.042	13.823	0.053
301.28596600	+44.27688100	14245844	301.285966	+44.276881	0.416	0.905	20122054	4	14	0.673	0.052	15.559	0.017	16.233	0.049	15.815	0.036	15.311	0.012	15.297	0.037
301.29596000	+44.26308500	14245845	301.295960	+44.263085	0.367	0.341	20122054	5	24	1.738	0.073	10.734	0.067	12.472	0.030	11.563	0.055	10.156	0.033	9.487	0.000
301.30321500	+44.30733700	14245846	301.303215	+44.307337	0.512	0.601	20122054	4	15	0.740	0.065	15.642	0.061	16.382	0.023	15.958	0.039	15.364	0.055	15.122	0.127
301.31315800	+44.28868500	14245847	301.313158	+44.288685	0.368	0.734	20122054	3	6							16.765	0.104	14.724	0.021	13.538	0.048
301.25206500	+44.31534400	14245848	301.252065	+44.315344	0.750	0.637	20122054	4	13	2.268	0.000	15.339	0.000	17.607	0.000	16.414	0.213	14.229	0.089	12.049	0.156
301.25870700	+44.30242800	14245849	301.258707	+44.302428	0.599	0.487	20122054	4	18	1.218	0.120	15.185	0.077	16.402	0.092	15.746	0.047	14.747	0.049	14.256	0.006
301.26541000	+44.28650700	14245850	301.265410	+44.286507	0.581	1.040	20122054	3	7	0.732	0.043	14.995	0.026	15.727	0.034	15.271	0.000	14.847	0.000	14.646	0.059
301.25515200	+44.32749500	14245851	301.255152	+44.327495	0.512	0.437	20122054	5	23	0.654	0.046	13.607	0.032	14.261	0.034	13.881	0.043	13.397	0.040	13.200	0.039
301.26862700	+44.33917800	14245852	301.268627	+44.339178	0.579	1.001	20122054	3	13	1.204	0.121	15.994	0.107	17.198	0.056	16.494	0.066	15.500	0.033	15.103	0.130
301.28500500	+44.31309100	14245853	301.285005	+44.313091	0.404	0.430	20122054	4	16	1.185	0.067	14.646	0.035	15.831	0.057	15.203	0.054	14.256	0.024	13.860	0.006
301.31101700	+44.33794800	14245854	301.311017	+44.337948	0.773	0.796	20122054	4	15	0.846	0.093	15.839	0.062	16.686	0.069	16.207	0.025	15.473	0.092	15.157	0.000
301.32213400	+44.31287300	14245855	301.322134	+44.312873	0.645	0.672	20122054	3	9	1.704	0.020	15.704	0.015	17.408	0.014	16.600	0.040	14.988	0.041	14.307	0.000
301.32924000	+44.32920800	14245856	301.329240	+44.329208	0.316	0.311	20122054	3	7							16.365	0.114	14.321	0.019	12.695	0.000
301.32288000	+44.36269100	14245857	301.322880	+44.362691	0.695	1.082	20122054	4	11	1.102	0.196	15.935	0.102	17.037	0.168	16.381	0.057	15.627	0.019	15.406	0.000
301.28808600	+44.33264400	14245858	301.288086	+44.332644	0.781	0.719	20122054	3	6	0.407	0.125	14.928	0.115	15.335	0.049						
301.29000800	+44.34565100	14245859	301.290008	+44.345651	0.815	0.697	20122054	3	6	1.034	0.041	16.306	0.029	17.341	0.030						
301.29104900	+44.35941800	14245860	301.291049	+44.359418	0.590	0.469	20122054	5	21	0.711	0.054	13.586	0.039	14.297	0.037	13.886	0.045	13.376	0.014	13.125	0.020
301.29638900	+44.34069800	14245861	301.296389	+44.340698	0.580	0.661	20122054	3	10	1.830	0.097	15.364	0.000	17.194	0.097	16.269	0.058	14.738	0.026	13.883	0.091
301.30846300	+44.34847100	14245862	301.308463	+44.348471	0.388	0.339	20122054	4	19	0.778	0.048	14.381	0.037	15.159	0.031	14.728	0.052	14.194	0.034	13.891	0.027
301.29022000	+44.37922500	14245863	301.290220	+44.379225	0.423	0.445	20122054	5	24	0.636	0.048	13.031	0.033	13.668	0.034	13.288	0.044	12.840	0.037	12.656	0.059
301.29366800	+44.37010600	14245864	301.293668	+44.370106	0.406	0.630	20122054	2	6	1.037	0.202	17.035	0.000	18.072	0.202	17.456	0.000	16.435	0.000		
301.29759300	+44.38992500	14245865	301.297593	+44.389925	0.803	0.716	20122054	3	8	1.037	0.037	16.320	0.011	17.357	0.035	16.745	0.093	15.955	0.025		
301.32337400	+44.37548600	14245866	301.323374	+44.375486	0.398	0.386	20122054	5	24	1.614	0.059	10.980	0.048	12.594	0.035	11.747	0.058	10.482	0.043	9.950	0.000
301.40069900	+44.31843700	14245867	301.400699	+44.318437	0.799	1.159	20122054	3	8	0.626	0.035	15.264	0.000	15.890	0.035	15.458	0.006	15.017	0.039	14.820	0.030
301.40527600	+44.32676800	14245868	301.405276	+44.326768	0.350	0.387	20122054	5	24	0.375	0.094	10.157	0.046	10.532	0.082	10.493	0.194	10.121	0.047	10.151	0.094
301.41900900	+44.31952400	14245869	301.419009	+44.319524	0.607	0.594	20122054	4	19	1.013	0.078	15.639	0.041	16.652	0.066	16.052	0.047	15.127	0.059	14.664	0.046
301.41987400	+44.33666600	14245870	301.419874	+44.336666	0.879	0.718	20122054	3	4							16.596	0.048	14.590	0.000	13.359	0.056
301.43795600	+44.35402700	14245871	301.437956	+44.354027	0.403	0.296	20122054	5	24	1.469	0.049	12.316	0.038	13.785	0.032	13.003	0.063	11.851	0.026	11.350	0.061
301.43809800	+44.34352600	14245872	301.438098	+44.343526	0.858	0.437	20122054	4	18	0.798	0.077	14.997	0.057	15.796	0.052	15.335	0.056	14.790	0.017	14.578	0.029
301.39288600	+44.33602600	14245873	301.392886	+44.336026	0.333	0.350	20122054	5	24	0.336	0.065	11.028	0.053	11.364	0.039	11.172	0.033	10.958	0.055	10.903	0.055
301.38406200	+44.37182500	14245874	301.384062	+44.371825	0.427	0.587	20122054	4	13	0.863	0.022	15.770	0.014	16.632	0.017	16.174	0.060	15.464	0.099	15.163	0.000
301.39733700	+44.36019900	14245875	301.397337	+44.360199	0.334	1.291	20122054	2	2											15.163	0.075
301.43600500	+44.39729900	14245876	301.436005	+44.397299	0.355	0.552	20122054	4	19	0.889	0.084	15.240	0.053	16.129	0.064	15.615	0.065	14.959	0.041	14.629	0.022
301.44798400	+44.39475500	14245877	301.447984	+44.394755	0.645	0.841	20122054	4	19	0.759	0.062	15.459	0.023	16.219	0.057	15.784	0.068	15.137	0.059	15.095	0.000
301.45578000	+44.39948000	14245878	301.455780	+44.399480	0.627	0.598	20122054	4	13	2.234	0.000	15.439	0.000	17.673	0.000	16.608	0.048	14.725	0.043	13.750	0.086
301.46871000	+44.40152300	14245879	301.468710	+44.401523	0.554	0.444	20122054	4	18	0.883	0.042	14.931	0.019	15.814	0.038	15.328	0.045	14.657	0.043	14.344	0.014
301.47644900	+44.39607500	14245880	301.476449	+44.396075	0.489	1.001	20122054	4	16	1.583	0.152	13.771	0.143	15.354	0.050	14.541	0.068	13.219	0.046	12.601	0.039
301.40181000	+44.40822300	14245881	301.401810	+44.408223	0.426	0.411	20122054	4	19	0.748	0.043	13.933	0.027	14.681	0.034	14.242	0.042	13.701	0.047	13.452	0.045
301.40303300	+44.39402300	14245882	301.403033	+44.394023	0.603	0.342	20122054	5	19	0.831	0.058	13.842	0.048	14.673	0.032	14.240	0.042	13.615	0.046	13.364	0.008
301.40866100	+44.42552600	14245883	301.408661	+44.425526	0.368	0.461	20122054	4	18	0.752	0.062	15.543	0.030	16.295	0.054	15.891	0.058	15.268	0.079	15.004	0.047
301.41456600	+44.43870100	14245884	301.414566	+44.438701	0.665	0.463	20122054	3	8	0.684	0.042	14.090	0.023	14.774	0.035	14.385	0.000	13.930	0.000		
301.42146700	+44.43921400	14245885	301.421467	+44.439214	0.789	1.371	20122054	2	4	1.562	0.320	16.536	0.208	18.098	0.244						
301.44456300	+44.42776000	14245886	301.444563	+44.427760	0.433	1.042	20122054	4	8	0.886	0.063	14.694	0.039	15.581	0.049	15.116	0.000	14.462	0.000		
301.34987000	+44.36855300	14245887	301.349870	+44.368553	1.495	0.823	20122054	2	4	0.862	0.170	17.070	0.000	17.932	0.170	17.582	0.000	16.726	0.000		
301.36292900	+44.36106600	14245888	301.362929	+44.361066	0.443	1.344	20122054	4	13	0.881	0.042	14.880	0.010	15.761	0.041	15.236	0.052	14.850	0.156	15.333	0.000
301.35443900	+44.39168100	14245889	301.354439	+44.391681	0.390	0.405	20122054	5	24	0.882	0.047	12.304	0.029	13.187	0.037	12.689	0.046	12.028	0.019	11.710	0.031
301.31457700	+44.40258500	14245890	301.314577	+44.402585	0.830	0.815	20122054	3	6							17.130	0.103	15.651	0.077	14.974	0.102
301.32558200	+44.42002800	14245891	301.325582	+44.420028	0.461	0.489	20122054	4	18	0.891	0.089	15.074	0.068	15.965	0.057	15.479	0.051	14.771	0.051	14.575	0.042
301.36683400	+44.42150600	14245892	301.366834	+44.421506	1.172	1.281	20122054	2	3							17.491	0.074	15.878	0.000	15.314	0.000
301.37276600	+44.42270500	14245893	301.372766	+44.422705	0.890	0.536	20122054	2	6	0.688	0.100	15.502	0.096	16.189	0.029	15.850	0.000	15.384	0.000		
301.39617200	+44.43234900	14245894	301.396172	+44.432349	0.848	0.473	20122054	4	21	0.792	0.072	14.607	0.060	15.399	0.040	14.952	0.049	14.362	0.045	14.022	0.044
301.34149800	+44.44883700	14245895	301.341498	+44.448837	0.880	0.944	20122054	4	15	0.838	0.087	15.164	0.039	16.001	0.078	15.508	0.037	14.935	0.034	14.693	0.148
301.36114500	+44.45246400	14245896	301.361145	+44.452464	0.349	0.335	20122054	4	19	0.691	0.039	14.363	0.032	15.054	0.022	14.635	0.045	14.122	0.040	13.907	0.059
301.36436100	+44.49425300	14245897	301.364361	+44.494253	0.508	0.494	20122054	4	19	0.685	0.061	14.243	0.041	14.928	0.046	14.523	0.050	13.993	0.043	13.765	0.072
301.36972800	+44.46490100	14245898	301.369728	+44.464901	0.885	0.633	20122054	4	16	0.874	0.073	15.225	0.035	16.100	0.064	15.630	0.036	14.893	0.031	14.588	0.120
301.37752200	+44.47872500	14245899	301.377522	+44.478725	0.474	0.419	20122054	4	19	2.315	0.109	14.061	0.090	16.376	0.063	15.167	0.088	13.221	0.050	11.695	0.090
301.37863000	+44.45833000	14245900	301.378630	+44.458330	0.904	0.961	20122054	3	5							17.439	0.070	15.600	0.069	14.720	0.000
301.38288100	+44.46888100	14245901	301.382881	+44.468881	0.801	0.351	20122054	4	18	0.624	0.072	14.202	0.059	14.825	0.040	14.445	0.039	13.991	0.063	13.859	0.006
301.21555900	+44.33292100	14245902	301.215559	+44.332921	0.494	0.438	20122054	4	9	0.486	0.000	14.190	0.000	14.676	0.000	14.342	0.008	13.955	0.006	13.784	0.153
301.23200400	+44.33520100	14245903	301.232004	+44.335201	0.503	0.710	20122054	4	19	0.775	0.057	14.633	0.016	15.408	0.054	14.951	0.057	14.327	0.055	14.070	0.022
301.23101300	+44.36255400	14245904	301.231013	+44.362554	0.536	0.555	20122054	4	17	2.179	0.135	14.762	0.088	16.941	0.102	15.726	0.121	13.852	0.044	11.814	0.118
301.24544900	+44.34478200	14245905	301.245449	+44.344782	0.460	0.293	20122054	4	17	0.660	0.070	14.582	0.052	15.242	0.048	14.833	0.060	14.280	0.051	14.041	0.016
301.17456000	+44.35012600	14245906	301.174560	+44.350126	0.419	0.546	20122054	5	24	0.655	0.055	13.151	0.040	13.805	0.037	13.415	0.040	12.946	0.043	12.733	0.033
301.20892000	+44.36595600	14245907	301.208920	+44.365956	0.290	0.413	20122054	5	24	0.261	0.065	11.978	0.051	12.240	0.040	12.020	0.045	11.929	0.057	11.918	0.034
301.21031200	+44.38218300	14245908	301.210312	+44.382183	0.307	0.538	20122054	4	18	0.713	0.060	14.997	0.047	15.711	0.038	15.290	0.052	14.767	0.028	14.551	0.030
301.21640300	+44.35688200	14245909	301.216403	+44.356882	0.816	0.533	20122054	4	17	1.010	0.082	15.122	0.077	16.132	0.029	15.530	0.050	14.736	0.026	14.430	0.202
301.24943500	+44.39243200	14245910	301.249435	+44.392432	1.290	0.668	20122054	4	12	0.859	0.029	15.938	0.026	16.797	0.013	16.274	0.105	15.644	0.008		
301.25185500	+44.37930300	14245911	301.251855	+44.379303	0.428	0.426	20122054	5	24	0.636	0.052	12.079	0.036	12.715	0.037	12.334	0.049	11.872	0.051	11.727	0.044
301.25802600	+44.40073000	14245912	301.258026	+44.400730	0.352	0.466	20122054	5	25	0.639	0.055	12.599	0.035	13.238	0.042	12.865	0.047	12.405	0.036	12.242	0.093
301.27252600	+44.38748700	14245913	301.272526	+44.387487	0.396	0.422	20122054	5	24	1.303	0.047	12.161	0.033	13.464	0.034	12.767	0.058	11.750	0.026	11.306	0.033
301.28033800	+44.37685900	14245914	301.280338	+44.376859	0.669	0.596	20122054	4	16	0.982	0.140	15.750	0.093	16.732	0.105	16.185	0.066	15.323	0.006		
301.28728100	+44.40139800	14245915	301.287281	+44.401398	0.501	0.769	20122054	4	16	1.019	0.101	15.937	0.019	16.956	0.100	16.394	0.049	15.557	0.046	15.306	0.174
301.21986800	+44.39801500	14245916	301.219868	+44.398015	0.513	0.775	20122054	4	19	0.981	0.087	15.085	0.046	16.066	0.074	15.516	0.057	14.755	0.045	14.438	0.008
301.23475900	+44.37875300	14245917	301.234759	+44.378753	1.156	0.579	20122054	4	11	2.185	0.000	15.920	0.000	18.104	0.000	17.113	0.098	15.050	0.071	14.105	0.057
301.24631900	+44.40103900	14245918	301.246319	+44.401039	0.289	0.294	20122054	5	24	1.344	0.047	12.688	0.034	14.032	0.032	13.317	0.055	12.253	0.023	11.758	0.036
301.25551600	+44.41912300	14245919	301.255516	+44.419123	0.288	0.367	20122054	5	22	0.466	0.054	13.171	0.039	13.637	0.036	13.325	0.043	13.044	0.062	12.973	0.021
301.15658000	+44.37936400	14245920	301.156580	+44.379364	0.303	0.451	20122054	5	24	0.534	0.055	11.249	0.036	11.783	0.042	11.472	0.013	11.084	0.042	10.930	0.043
301.17581600	+44.36403500	14245921	301.175816	+44.364035	0.280	0.648	20122054	4	16	0.649	0.112	15.011	0.102	15.660	0.046	15.188	0.064	14.725	0.098	14.406	0.069
301.19294200	+44.38839800	14245922	301.192942	+44.388398	0.454	0.688	20122054	4	12	0.838	0.035	15.621	0.029	16.459	0.019	15.939	0.040	15.267	0.068		
301.19978900	+44.40037300	14245923	301.199789	+44.400373	0.461	0.567	20122054	4	19	1.458	0.098	15.302	0.052	16.761	0.084	16.003	0.047	14.663	0.037	14.018	0.059
301.12576900	+44.40980100	14245924	301.125769	+44.409801	0.826	0.805	20122054	4	14	0.896	0.154	16.407	0.107	17.302	0.111	16.790	0.059	16.017	0.023	15.719	0.072
301.14721500	+44.39055200	14245925	301.147215	+44.390552	0.346	0.562	20122054	4	18	0.756	0.048	14.794	0.034	15.550	0.033	15.109	0.038	14.551	0.058	14.345	0.012
301.13974200	+44.43019200	14245926	301.139742	+44.430192	0.412	1.480	20122054	3	6	0.971	0.000	15.756	0.000	16.727	0.000	16.243	0.188	15.529	0.134		
301.14731400	+44.42089100	14245927	301.147314	+44.420891	0.538	0.572	20122054	4	8	0.870	0.080	15.229	0.065	16.099	0.046						
301.15547100	+44.41937600	14245928	301.155471	+44.419376	0.260	0.367	20122054	5	24	1.236	0.052	11.634	0.038	12.870	0.035	12.202	0.051	11.256	0.028	10.854	0.042
301.18531900	+44.42967400	14245929	301.185319	+44.429674	0.256	0.481	20122054	4	19	0.778	0.059	13.752	0.042	14.529	0.042	14.075	0.046	13.489	0.044	13.227	0.039
301.20286200	+44.40958600	14245930	301.202862	+44.409586	0.250	0.420	20122054	4	19	0.775	0.040	13.941	0.025	14.717	0.032	14.285	0.045	13.688	0.027	13.396	0.023
301.20017700	+44.45939400	14245931	301.200177	+44.459394	0.408	0.480	20122054	3	14	0.790	0.069	14.777	0.041	15.567	0.055	15.129	0.053	14.519	0.031	14.253	0.025
301.20736500	+44.46068400	14245932	301.207365	+44.460684	0.399	1.246	20122054	4	7			14.733	0.000			15.153	0.000	14.377	0.011	13.902	0.086
301.20739500	+44.46135200	14245933	301.207395	+44.461352	0.141	0.224	20122054	2	2					15.625	0.000	15.114	0.011				
301.20885400	+44.45687700	14245934	301.208854	+44.456877	0.433	0.639	20122054	2	6	0.975	0.041	15.297	0.000	16.272	0.041	15.797	0.102	14.910	0.040		
301.22795700	+44.45095300	14245935	301.227957	+44.450953	0.540	1.035	20122054	3	11	0.865	0.208	16.298	0.130	17.164	0.163	16.516	0.000	15.937	0.011		
301.22877700	+44.44112900	14245936	301.228777	+44.441129	0.690	0.512	20122054	4	17	1.765	0.094	14.803	0.086	16.568	0.040	15.667	0.089	14.144	0.045	13.406	0.031
301.15626600	+44.46275300	14245937	301.156266	+44.462753	0.966	0.915	20122054	3	9	0.847	0.215	16.267	0.141	17.115	0.162	16.691	0.000	15.928	0.000	15.717	0.000
301.17605600	+44.45834000	14245938	301.176056	+44.458340	0.825	0.642	20122054	2	4	0.784	0.162	17.088	0.000	17.872	0.162	17.265	0.000	16.442	0.000		
301.17803600	+44.43603700	14245939	301.178036	+44.436037	0.263	0.596	20122054	5	24	0.327	0.065	12.787	0.052	13.114	0.039	12.870	0.041	12.699	0.061	12.652	0.068
301.17024100	+44.47016200	14245940	301.170241	+44.470162	1.038	0.624	20122054	4	16	0.826	0.198	16.012	0.141	16.838	0.139	16.345	0.091	15.672	0.080	15.454	0.046
301.17135400	+44.47630400	14245941	301.171354	+44.476304	0.566	0.678	20122054	4	13	0.819	0.082	15.573	0.060	16.392	0.056	15.933	0.022	15.289	0.030	15.002	0.000
301.18032100	+44.47802300	14245942	301.180321	+44.478023	0.385	0.566	20122054	5	21	0.751	0.053	13.881	0.040	14.632	0.035	14.199	0.041	13.646	0.028	13.413	0.029
301.29580900	+44.41801500	14245943	301.295809	+44.418015	0.600	0.898	20122054	4	14	0.790	0.102	15.347	0.049	16.137	0.089	15.686	0.039	15.019	0.030	14.669	0.017
301.29946200	+44.47254700	14245944	301.299462	+44.472547	0.714	1.385	20122054	2	8	1.490	0.080	16.285	0.080	17.775	0.000	16.945	0.000	15.789	0.000	14.945	0.168
301.30977100	+44.43078500	14245945	301.309771	+44.430785	0.592	0.392	20122054	4	19	1.855	0.077	14.445	0.074	16.299	0.019	15.344	0.067	13.797	0.041	12.993	0.053
301.31500100	+44.44365700	14245946	301.315001	+44.443657	0.408	0.351	20122054	4	19	1.191	0.065	14.560	0.057	15.751	0.031	15.109	0.049	14.152	0.040	13.716	0.024
301.26297700	+44.46647500	14245947	301.262977	+44.466475	0.454	0.537	20122054	4	19	0.847	0.036	15.196	0.021	16.043	0.029	15.545	0.049	14.904	0.051	14.587	0.047
301.28130500	+44.48395300	14245948	301.281305	+44.483953	0.639	0.430	20122054	4	9							16.354	0.075	15.474	0.070	14.986	0.000
301.28380800	+44.46276900	14245949	301.283808	+44.462769	0.423	0.570	20122054	4	16	0.903	0.057	15.310	0.054	16.214	0.017	15.729	0.033	15.029	0.023	14.784	0.006
301.32590400	+44.47393800	14245950	301.325904	+44.473938	0.313	0.414	20122054	4	20	0.708	0.085	14.883	0.048	15.591	0.069	15.193	0.049	14.641	0.013	14.413	0.114
301.33477500	+44.46864100	14245951	301.334775	+44.468641	0.487	0.443	20122054	4	24	0.734	0.047	14.241	0.033	14.974	0.034	14.527	0.046	13.986	0.048	13.674	0.095
301.32541400	+44.50720800	14245952	301.325414	+44.507208	0.804	0.298	20122054	4	23	0.683	0.052	14.276	0.035	14.959	0.038	14.551	0.065	13.997	0.071	13.749	0.071
301.32610100	+44.48945700	14245953	301.326101	+44.489457	0.572	1.355	20122054	4	14	1.424	0.480	15.284	0.130	16.709	0.462	15.933	0.185	14.770	0.026	14.076	0.000
301.32630600	+44.49010500	14245954	301.326306	+44.490105	0.574	1.077	20122054	2	10	1.101	0.142	15.477	0.038	16.578	0.137	15.764	0.076	14.930	0.033		
301.32960500	+44.51513000	14245955	301.329605	+44.515130	0.540	0.593	20122054	4	18	0.583	0.045	14.886	0.013	15.468	0.043	15.110	0.063	14.714	0.023	14.538	0.029
301.34136000	+44.48696900	14245956	301.341360	+44.486969	0.490	0.375	20122054	4	24	0.697	0.059	14.375	0.034	15.072	0.048	14.665	0.056	14.134	0.071	13.915	0.023
301.34418200	+44.49954700	14245957	301.344182	+44.499547	0.678	0.492	20122054	4	18	0.882	0.100	15.689	0.066	16.571	0.075	16.075	0.063	15.315	0.064	15.028	0.038
301.35434800	+44.49252800	14245958	301.354348	+44.492528	1.425	0.599	20122054	4	16	0.942	0.153	15.830	0.080	16.771	0.130	16.154	0.065	15.479	0.078		
301.27770700	+44.49225800	14245959	301.277707	+44.492258	0.484	0.630	20122054	3	15	1.362	0.031	15.697	0.027	17.059	0.014	16.297	0.126	15.161	0.006	14.761	0.000
301.27774800	+44.50803800	14245960	301.277748	+44.508038	0.414	0.441	20122054	5	24	1.476	0.051	12.627	0.043	14.103	0.028	13.324	0.061	12.140	0.024	11.623	0.057
301.29584000	+44.50278100	14245961	301.295840	+44.502781	0.349	0.372	20122054	5	24	0.510	0.053	13.515	0.039	14.025	0.036	13.692	0.047	13.358	0.046	13.177	0.034
301.29023500	+44.52441100	14245962	301.290235	+44.524411	0.908	1.396	20122054	3	6	0.958	0.089	16.167	0.071	17.126	0.055	16.650	0.000	16.047	0.000		
