_RAJ2000	_DEJ2000	recno	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Field	nobs	mobs	B-V	e_B-V	Vmag	e_Vmag	Bmag	e_Bmag	g'mag	e_g'mag	r'mag	e_r'mag	i'mag	e_i'mag
301.10636300	+44.44286800	14248635	301.106363	+44.442868	0.873	0.767	20122054	2	4	0.836	0.023	15.762	0.023	16.597	0.000						
301.12458300	+44.44459600	14248636	301.124583	+44.444596	0.229	0.401	20122054	3	15	0.684	0.067	13.651	0.026	14.335	0.062	13.918	0.056	13.414	0.033	13.194	0.036
301.12837500	+44.43143700	14248637	301.128375	+44.431437	0.347	0.761	20122054	3	10	0.746	0.144	15.702	0.083	16.448	0.117	16.017	0.060	15.545	0.053		
301.12856400	+44.43568200	14248638	301.128564	+44.435682	0.166	0.607	20122054	3	7	2.281	0.000	15.276	0.000	17.557	0.000	16.476	0.000	14.673	0.000	13.791	0.049
301.13022200	+44.46537900	14248643	301.130222	+44.465379	0.372	0.470	20122054	5	24	0.364	0.062	12.908	0.048	13.271	0.038	13.005	0.046	12.839	0.053	12.805	0.052
301.13032900	+44.48493600	14248644	301.130329	+44.484936	0.561	0.659	20122054	3	14	2.070	0.222	15.166	0.139	17.236	0.173	16.209	0.095	14.395	0.070	13.583	0.000
301.14263900	+44.45780800	14248645	301.142639	+44.457808	0.398	0.542	20122054	4	19	0.700	0.059	15.107	0.047	15.807	0.036	15.411	0.051	14.821	0.051	14.540	0.066
301.14028100	+44.51085600	14248646	301.140281	+44.510856	0.567	0.441	20122054	4	19	0.685	0.068	14.260	0.046	14.946	0.051	14.554	0.047	14.038	0.051	13.878	0.057
301.14070700	+44.49138700	14248647	301.140707	+44.491387	0.899	0.853	20122054	3	9	0.687	0.075	16.205	0.000	16.892	0.075	16.422	0.065	15.854	0.084	15.744	0.000
301.14998800	+44.51585100	14248648	301.149988	+44.515851	0.667	0.971	20122054	3	8	0.963	0.039	15.448	0.028	16.411	0.028	15.839	0.000	15.051	0.000		
301.11005100	+44.49166700	14248650	301.110051	+44.491667	0.448	0.439	20122054	4	19	0.922	0.053	14.447	0.044	15.369	0.029	14.853	0.055	14.126	0.054	13.858	0.059
301.12632100	+44.52862600	14248651	301.126321	+44.528626	0.507	0.517	20122054	4	12	1.560	0.000	15.986	0.000	17.546	0.000	16.861	0.099	15.146	0.071	14.407	0.068
301.16091100	+44.54445000	14248669	301.160911	+44.544450	0.456	0.509	20122054	4	16	0.617	0.079	15.256	0.051	15.873	0.060	15.499	0.055	15.016	0.033	14.845	0.067
301.17482800	+44.50843700	14248670	301.174828	+44.508437	0.739	0.850	20122054	4	19	0.624	0.080	14.999	0.053	15.623	0.060	15.249	0.061	14.800	0.038	14.610	0.050
301.17349500	+44.54520500	14248671	301.173495	+44.545205	0.456	0.482	20122054	4	16	0.717	0.075	15.517	0.061	16.233	0.043	15.797	0.046	15.298	0.051		
301.18691900	+44.53845700	14248672	301.186919	+44.538457	0.376	0.569	20122054	3	13	0.895	0.100	15.316	0.064	16.211	0.078	15.710	0.054	15.010	0.030	14.605	0.000
301.19464200	+44.54350500	14248673	301.194642	+44.543505	0.355	0.410	20122054	4	16	0.582	0.063	13.569	0.039	14.151	0.049	13.805	0.039	13.401	0.000	13.207	0.006
301.12923200	+44.54967300	14248674	301.129232	+44.549673	0.755	0.745	20122054	4	9	1.363	0.122	16.077	0.000	17.440	0.122	16.696	0.095	15.605	0.038	15.200	0.000
301.13405700	+44.53424200	14248675	301.134057	+44.534242	0.471	1.136	20122054	4	14	0.661	0.045	15.863	0.027	16.524	0.036	16.085	0.062	15.497	0.041		
301.13429500	+44.55994800	14248676	301.134295	+44.559948	0.399	0.524	20122054	4	19	1.278	0.063	14.503	0.050	15.781	0.039	15.110	0.063	14.062	0.039	13.579	0.036
301.15388000	+44.56328500	14248677	301.153880	+44.563285	0.620	0.609	20122054	4	13	0.760	0.083	15.588	0.054	16.348	0.063	15.890	0.047	15.344	0.065	15.155	0.108
301.16798100	+44.56667700	14248678	301.167981	+44.566677	0.368	0.782	20122054	4	11							16.427	0.111	15.060	0.044	14.258	0.058
301.19612600	+44.59219200	14248679	301.196126	+44.592192	0.457	0.470	20122054	4	19	0.767	0.074	15.232	0.033	15.999	0.067	15.553	0.072	14.995	0.068	14.770	0.072
301.19985900	+44.57457100	14248680	301.199859	+44.574571	0.205	0.421	20122054	4	18	1.008	0.059	14.178	0.029	15.185	0.052	14.643	0.053	13.846	0.014	13.513	0.047
301.21214700	+44.58714900	14248681	301.212147	+44.587149	0.693	0.405	20122054	5	29	0.244	0.066	12.608	0.051	12.853	0.042	12.638	0.050	12.564	0.049	12.552	0.050
301.21550500	+44.57988400	14248682	301.215505	+44.579884	0.309	0.527	20122054	4	19	0.729	0.075	14.364	0.047	15.093	0.058	14.660	0.043	14.141	0.060	13.931	0.037
301.16978100	+44.57940900	14248683	301.169781	+44.579409	0.385	0.443	20122054	3	12	0.879	0.067	15.311	0.063	16.190	0.021	15.665	0.041	15.001	0.019	14.715	0.006
301.17397500	+44.59158300	14248684	301.173975	+44.591583	1.036	0.540	20122054	3	8	0.699	0.134	16.139	0.081	16.838	0.106	16.484	0.000	15.992	0.000		
301.17478600	+44.60110100	14248685	301.174786	+44.601101	0.484	0.696	20122054	4	18	0.579	0.081	15.267	0.063	15.846	0.051	15.491	0.055	15.046	0.076	14.800	0.037
301.18113200	+44.58249800	14248686	301.181132	+44.582498	0.524	0.997	20122054	3	13	0.862	0.088	15.645	0.051	16.507	0.072	15.994	0.058	15.471	0.027	15.233	0.066
301.18453400	+44.59851900	14248687	301.184534	+44.598519	0.407	0.408	20122054	4	20	0.858	0.052	13.886	0.039	14.744	0.034	14.262	0.052	13.599	0.054	13.401	0.095
301.18985800	+44.61555300	14248689	301.189858	+44.615553	0.280	0.302	20122054	4	19	1.088	0.068	13.821	0.041	14.909	0.054	14.307	0.053	13.432	0.039	13.022	0.054
301.23621800	+44.60648200	14249109	301.236218	+44.606482	0.757	0.457	20122054	3	10	0.888	0.115	15.858	0.014	16.746	0.114	16.259	0.083	15.590	0.051		
301.24057200	+44.63766700	14249110	301.240572	+44.637667	0.347	0.419	20122054	5	24	1.166	0.050	12.619	0.032	13.785	0.039	13.159	0.057	12.237	0.039	11.789	0.068
301.25515800	+44.64254600	14249111	301.255158	+44.642546	0.652	0.723	20122054	4	12	0.853	0.133	15.663	0.094	16.515	0.094	16.041	0.056	15.388	0.017		
301.21104200	+44.64633200	14249113	301.211042	+44.646332	0.588	0.628	20122054	2	8	1.690	0.126	15.925	0.000	17.615	0.126	16.728	0.075	15.115	0.057	14.290	0.014
301.22767500	+44.67139500	14249115	301.227675	+44.671395	0.624	0.290	20122054	3	6	0.740	0.049	13.709	0.046	14.448	0.017						
301.23341800	+44.66623200	14249116	301.233418	+44.666232	0.755	0.300	20122054	5	21	1.278	0.056	11.334	0.037	12.612	0.042	11.935	0.053	10.948	0.027	10.558	0.112
301.23344900	+44.66623300	14249117	301.233449	+44.666233	0.600	0.229	20122054	2	11	1.222	0.039	11.311	0.039	12.533	0.006	11.842	0.006	10.866	0.000	10.428	0.000
301.24831100	+44.67300900	14249118	301.248311	+44.673009	0.846	0.414	20122054	4	15	0.634	0.089	14.695	0.065	15.329	0.060	14.938	0.051	14.385	0.021	14.149	0.000
301.25977500	+44.67131500	14249120	301.259775	+44.671315	0.679	0.289	20122054	5	24	0.576	0.061	12.635	0.033	13.211	0.051	12.860	0.053	12.451	0.044	12.278	0.042
301.26654100	+44.68711300	14249121	301.266541	+44.687113	0.316	0.411	20122054	4	18	0.758	0.072	15.357	0.029	16.114	0.066	15.676	0.080	15.056	0.077	14.837	0.062
301.28238400	+44.68145900	14249122	301.282384	+44.681459	0.476	0.905	20122054	4	19	0.716	0.067	14.919	0.025	15.636	0.063	15.195	0.054	14.627	0.080	14.283	0.126
301.28966500	+44.70787500	14249123	301.289665	+44.707875	0.722	0.577	20122054	4	15	1.679	0.039	15.547	0.017	17.226	0.035	16.424	0.086	14.787	0.042	13.971	0.070
